Kep neve 	 Dobas ertek	kocka szama
./kepek/01.jpg	11	3
./kepek/02.jpg	15	4
./kepek/03.jpg	14	4
./kepek/04.jpg	15	4
./kepek/05.jpg	13	5
./kepek/06.jpg	12	2
./kepek/07.jpg	16	2
./kepek/08.jpg	13	2
./kepek/09.jpg	121	9
./kepek/10.jpg	12	0
./kepek/11.jpg	15	4
./kepek/12.jpg	15	0
./kepek/13.jpg	14	2
./kepek/14.jpg	10	3
./kepek/15.jpg	15	1
./kepek/16.jpg	12	3
./kepek/17.jpg	11	4
./kepek/18.jpg	14	4
./kepek/19.jpg	14	6
./kepek/20.jpg	12	2
./kepek/21.jpg	10	2
./kepek/22.jpg	15	4
./kepek/23.jpg	6	3
./kepek/24.jpg	13	4
./kepek/25.jpg	64	4
./kepek/26.jpg	20	8
./kepek/27.jpg	18	4
./kepek/28.jpg	11	4
./kepek/29.jpg	15	4
./kepek/30.jpg	15	4
./kepek/31.jpg	16	3
./kepek/32.jpg	10	4
./kepek/33.jpg	12	4
./kepek/34.jpg	17	4
./kepek/35.jpg	16	4
./kepek/36.jpg	17	3
./kepek/37.jpg	18	5
./kepek/38.jpg	16	4
./kepek/39.jpg	6	4
./kepek/40.jpg	14	0
./kepek/41.jpg	17	4
./kepek/42.jpg	11	6
./kepek/43.jpg	14	4
./kepek/44.jpg	20	3
./kepek/45.jpg	11	4
./kepek/46.jpg	4	4
./kepek/47.jpg	24	3
./kepek/48.jpg	11	4
./kepek/49.jpg	15	14
./kepek/50.jpg	10	4
./kepek/51.jpg	14	4
./kepek/52.jpg	7	2
./kepek/53.jpg	18	2
./kepek/54.jpg	9	5
./kepek/55.jpg	0	2
./kepek/56.jpg	71	0
